City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Min Temp,Max Temp,Wind Speed
5380437,Pacific Grove,1,US,2021-02-08 00:26:41,77,36.6177,-121.9166,53.00600000000003,60.00799999999998,77
1795632,Shenjiamen,100,CN,2021-02-08 00:26:42,80,29.9576,122.298,48.05599999999998,48.05599999999998,80
1082243,Ambilobe,50,MG,2021-02-08 00:26:44,93,-13.2,49.05,73.31,73.31,93
1513491,Yangi Marg`ilon,99,UZ,2021-02-08 00:26:45,75,40.4272,71.7189,40.99999999999994,40.99999999999994,75
4726521,San Patricio,75,US,2021-02-08 00:26:46,59,28.017,-97.5169,62.00600000000003,66.19999999999999,59
5257754,Janesville,75,US,2021-02-08 00:23:48,60,42.6828,-89.0187,-4.0,-2.1999999999999886,60
5919850,Chapais,90,CA,2021-02-08 00:26:24,85,49.7834,-74.8492,10.399999999999977,10.399999999999977,85
5265702,Onalaska,90,US,2021-02-08 00:17:40,50,43.8844,-91.2351,-0.39999999999997726,-0.39999999999997726,50
1633419,Padang,20,ID,2021-02-08 00:25:50,94,-0.9492,100.3543,73.39999999999992,73.39999999999992,94
3870243,Taltal,24,CL,2021-02-08 00:26:53,74,-25.4,-70.4833,65.24600000000004,65.24600000000004,74
6447156,Port-de-Bouc,0,FR,2021-02-08 00:26:55,93,43.4,4.9833,35.599999999999966,39.19999999999993,93
1015776,Bredasdorp,7,ZA,2021-02-08 00:26:56,77,-34.5322,20.0403,58.99999999999994,58.99999999999994,77
1267390,Kavaratti,40,IN,2021-02-08 00:22:45,69,10.5669,72.642,80.81599999999997,80.81599999999997,69
2629833,Husavik,90,IS,2021-02-08 00:26:58,74,66.0449,-17.3389,31.999999999999943,31.999999999999943,74
1067565,Beloha,15,MG,2021-02-08 00:22:09,96,-25.1667,45.05,74.4260000000001,74.4260000000001,96
535639,Letka,100,RU,2021-02-08 00:27:01,85,59.6011,49.4232,-22.701999999999998,-22.701999999999998,85
1687894,Santa Rosa,40,PH,2021-02-08 00:27:02,74,14.3122,121.1114,80.59999999999997,80.99600000000004,74
6065262,Maniwaki,91,CA,2021-02-08 00:27:04,62,46.3834,-75.966,13.999999999999943,13.999999999999943,62
3868633,Vallenar,0,CL,2021-02-08 00:22:34,56,-28.5708,-70.7581,65.74999999999994,65.74999999999994,56
2013918,Ust-Maya,99,RU,2021-02-08 00:27:06,83,60.4167,134.5333,-29.43399999999997,-29.43399999999997,83
777019,Vardø,100,NO,2021-02-08 00:27:07,92,70.3705,31.1107,24.494000000000028,24.494000000000028,92
2126199,Cherskiy,12,RU,2021-02-08 00:27:10,70,68.75,161.3,2.749999999999943,2.749999999999943,70
530972,Malmyzh,100,RU,2021-02-08 00:27:11,87,56.5205,50.6818,-13.575999999999965,-13.575999999999965,87
1006984,East London,95,ZA,2021-02-08 00:27:12,82,-33.0153,27.9116,71.45599999999996,71.45599999999996,82
692315,Sudak,100,UA,2021-02-08 00:27:14,85,44.85,34.9667,36.55400000000003,36.55400000000003,85
358048,Damietta,0,EG,2021-02-08 00:27:15,82,31.4165,31.8133,60.80000000000001,60.80000000000001,82
2181625,Te Anau,100,NZ,2021-02-08 00:27:16,58,-45.4167,167.7167,65.98399999999998,65.98399999999998,58
361058,Alexandria,0,EG,2021-02-08 00:22:39,88,31.2156,29.9553,57.19999999999999,57.19999999999999,88
2661712,Arosa,100,CH,2021-02-08 00:27:19,90,46.7779,9.6762,24.99799999999999,31.999999999999943,90
632669,Valkeala,90,FI,2021-02-08 00:27:20,86,60.9401,26.7979,15.799999999999955,15.799999999999955,86
5557293,Sitka,40,US,2021-02-08 00:27:21,30,57.0531,-135.33,35.599999999999966,35.599999999999966,30
3520994,Puerto Escondido,20,MX,2021-02-08 00:27:22,69,15.85,-97.0667,82.39999999999992,82.39999999999992,69
355449,Esna,0,EG,2021-02-08 00:27:24,67,25.2934,32.554,60.80000000000001,60.80000000000001,67
934649,Cap Malheureux,45,MU,2021-02-08 00:27:12,84,-19.9842,57.6142,78.00799999999998,78.00799999999998,84
743881,Kastamonu Province,100,TR,2021-02-08 00:27:26,62,41.5,33.6667,43.879999999999995,43.879999999999995,62
6125862,Roblin,46,CA,2021-02-08 00:27:27,82,51.23,-101.3565,-34.762,-34.762,82
6457397,Bose,95,IT,2021-02-08 00:27:29,98,45.4612,8.0137,39.00200000000001,42.00799999999998,98
5861897,Fairbanks,20,US,2021-02-08 00:27:30,70,64.8378,-147.7164,-11.00200000000001,-2.9920000000000186,70
4946620,Palmer,90,US,2021-02-08 00:27:31,86,42.1584,-72.3287,24.99799999999999,26.99599999999998,86
148251,Julfa,20,AZ,2021-02-08 00:27:32,86,38.9558,45.6308,30.199999999999932,30.199999999999932,86
257126,Methana,96,GR,2021-02-08 00:27:34,74,37.5823,23.3914,60.99799999999999,62.00600000000003,74
532600,Lyubim,4,RU,2021-02-08 00:27:35,87,58.3625,40.6843,-18.687999999999988,-18.687999999999988,87
962367,Richards Bay,93,ZA,2021-02-08 00:27:36,93,-28.783,32.0377,74.87600000000003,74.87600000000003,93
